dataset,level,algorithm,number,mal_pre,mal_recall,mal_f1,good_pre,good_recall,good_f1
drebin,dex,SVM,2,0.9434,0.9522,0.9478,0.9518,0.9428,0.9473
drebin,dex,DT,3,,,,,,
drebin,dex,RF,3,0.9411,0.8838,0.9116,0.8905,0.9447,0.9168
drebin,dex,SVM,3,0.9327,0.9475,0.9400,0.9467,0.9316,0.9391
drebin,dex,DT,4,,,,,,
drebin,dex,RF,4,0.9512,0.8585,0.9025,0.8711,0.9560,0.9115
drebin,dex,SVM,4,0.9479,0.9541,0.9510,0.9538,0.9475,0.9506
drebin,dex,DT,5,,,,,,
drebin,dex,RF,5,0.9472,0.8735,0.9088,0.8826,0.9513,0.9157
drebin,dex,SVM,5,0.9455,0.9597,0.9526,0.9591,0.9447,0.9518
drebin,dex,DT,6,,,,,,
drebin,dex,RF,6,0.9575,0.8650,0.9089,0.8769,0.9616,0.9173
drebin,dex,SVM,6,0.9412,0.9597,0.9503,0.9589,0.9400,0.9494
drebin,dex,DT,70y,,,,,,
drebin,dex,RF,70y,0.9412,0.9147,0.9278,0.9170,0.9428,0.9298
drebin,dex,SVM,70y,0.9340,0.9681,0.9508,0.9669,0.9316,0.9489
drebin,dex,DT,7,,,,,,
drebin,dex,RF,7,0.9590,0.8547,0.9039,0.8690,0.9634,0.9138
drebin,dex,SVM,7,0.9429,0.9447,0.9438,0.9446,0.9428,0.9437
drebin,dex,DT,8,,,,,,
drebin,dex,RF,8,0.9395,0.8875,0.9128,0.8934,0.9428,0.9175
drebin,dex,SVM,8,0.9412,0.9606,0.9508,0.9598,0.9400,0.9498
drebin,dex,DT,9,,,,,,
drebin,dex,RF,9,0.9394,0.8716,0.9042,0.8802,0.9438,0.9109
drebin,dex,SVM,9,0.9487,0.9531,0.9509,0.9529,0.9485,0.9507
drebin,opcode,DT,0,,,,,,
drebin,opcode,RF,0,0.9374,0.8740,0.9046,0.8820,0.9417,0.9108
